id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-12-02 03:44:06,"{""short_code"":""r10UYL"",""original_url"":""https://relay.cloud/ivory/kernel/1""}"
2,2,335,created,2025-12-09 05:52:17,"{""short_code"":""izddOv"",""original_url"":""https://seeded.app/brisk/delta/2""}"
3,3,102,created,2025-08-21 10:39:49,"{""short_code"":""EGwTT8"",""original_url"":""https://seeded.app/vivid/meadow/3""}"
4,4,296,created,2025-11-15 04:36:02,"{""short_code"":""f16QMV"",""original_url"":""https://acme.dev/mellow/meadow/4""}"
5,5,80,created,2025-09-12 21:46:50,"{""short_code"":""gf1hzA"",""original_url"":""https://hackstack.io/dawn/engine/5""}"
6,6,376,created,2026-01-04 04:49:50,"{""short_code"":""Mb4Bl5"",""original_url"":""https://acme.dev/dawn/delta/6""}"
7,7,145,created,2026-02-06 16:10:50,"{""short_code"":""vxknqj"",""original_url"":""https://seeded.app/mellow/uplink/7""}"
8,8,289,created,2026-01-29 12:45:47,"{""short_code"":""Q8uOew"",""original_url"":""https://acme.dev/rapid/canyon/8""}"
9,9,18,created,2025-10-08 00:44:35,"{""short_code"":""K2yyUH"",""original_url"":""https://acme.dev/cobalt/garden/9""}"
10,10,117,created,2026-01-12 09:15:50,"{""short_code"":""MmZIEf"",""original_url"":""https://acme.dev/dawn/journey/10""}"
11,11,53,created,2025-02-10 01:12:15,"{""short_code"":""c48nT4"",""original_url"":""https://relay.cloud/jade/quartz/11""}"
12,12,15,created,2026-02-11 19:04:24,"{""short_code"":""bmVwzE"",""original_url"":""https://hackstack.io/cobalt/beacon/12""}"
13,13,397,created,2025-12-18 22:39:11,"{""short_code"":""IUlVqh"",""original_url"":""https://relay.cloud/harbor/island/13""}"
14,14,297,created,2025-08-14 16:14:23,"{""short_code"":""MrbMG1"",""original_url"":""https://acme.dev/clear/engine/14""}"
15,15,71,created,2025-03-08 13:51:24,"{""short_code"":""2AsORa"",""original_url"":""https://relay.cloud/silver/window/15""}"
16,16,242,created,2025-04-04 06:40:49,"{""short_code"":""o993RS"",""original_url"":""https://example.com/forest/signal/16""}"
17,17,158,created,2025-03-19 09:50:46,"{""short_code"":""Fg9F9y"",""original_url"":""https://acme.dev/harbor/valley/17""}"
18,18,230,created,2025-01-31 05:32:37,"{""short_code"":""ZmjAVJ"",""original_url"":""https://hackstack.io/vivid/yard/18""}"
19,19,74,created,2025-09-16 06:48:46,"{""short_code"":""GzQXIn"",""original_url"":""https://opswise.net/lively/anchor/19""}"
20,20,63,created,2025-03-13 23:40:14,"{""short_code"":""7aJAcs"",""original_url"":""https://seeded.app/navy/lagoon/20""}"
21,21,214,created,2025-10-11 02:50:56,"{""short_code"":""x02Ab4"",""original_url"":""https://seeded.app/ivory/canyon/21""}"
22,22,121,created,2025-05-12 23:02:15,"{""short_code"":""p9JtLy"",""original_url"":""https://seeded.app/forest/signal/22""}"
23,23,324,created,2025-10-13 09:18:56,"{""short_code"":""ZqBm0x"",""original_url"":""https://acme.dev/cobalt/lagoon/23""}"
24,24,7,created,2026-02-03 11:54:20,"{""short_code"":""T4a93a"",""original_url"":""https://example.com/proud/canyon/24""}"
25,25,86,created,2025-09-22 03:49:27,"{""short_code"":""FeCfWj"",""original_url"":""https://acme.dev/proud/trail/25""}"
26,26,272,created,2025-09-13 09:24:46,"{""short_code"":""9srjHW"",""original_url"":""https://seeded.app/gold/signal/26""}"
27,27,138,created,2025-04-18 15:01:37,"{""short_code"":""JP9Iz8"",""original_url"":""https://hackstack.io/calm/canyon/27""}"
28,28,64,created,2025-04-09 20:32:01,"{""short_code"":""P8rZW4"",""original_url"":""https://opswise.net/jade/journey/28""}"
29,29,112,created,2026-02-15 07:27:37,"{""short_code"":""p5MIJA"",""original_url"":""https://relay.cloud/mellow/river/29""}"
30,30,186,created,2026-02-08 00:00:14,"{""short_code"":""bcFWe4"",""original_url"":""https://relay.cloud/dawn/valley/30""}"
31,31,155,created,2025-03-22 05:34:57,"{""short_code"":""PgMaYg"",""original_url"":""https://example.com/quiet/canyon/31""}"
32,32,128,created,2025-03-29 05:38:03,"{""short_code"":""ylwKHD"",""original_url"":""https://relay.cloud/gold/lagoon/32""}"
33,33,264,created,2025-11-15 00:11:33,"{""short_code"":""m9nLIV"",""original_url"":""https://opswise.net/young/window/33""}"
34,34,231,created,2025-05-27 13:04:24,"{""short_code"":""wlhDyU"",""original_url"":""https://example.com/lively/signal/34""}"
35,35,244,created,2025-07-17 00:19:10,"{""short_code"":""ojUP3W"",""original_url"":""https://relay.cloud/navy/harvest/35""}"
36,36,149,created,2025-03-02 02:26:52,"{""short_code"":""wNWqVl"",""original_url"":""https://opswise.net/keen/network/36""}"
37,37,204,created,2025-05-31 02:24:55,"{""short_code"":""7PeQW7"",""original_url"":""https://relay.cloud/lively/beacon/37""}"
38,38,238,created,2025-07-29 13:05:22,"{""short_code"":""x6L48L"",""original_url"":""https://opswise.net/amber/journey/38""}"
39,39,19,created,2026-01-09 09:57:03,"{""short_code"":""okFU1e"",""original_url"":""https://example.com/young/river/39""}"
40,40,34,created,2025-01-05 06:15:46,"{""short_code"":""9auOxB"",""original_url"":""https://example.com/tidy/journey/40""}"
41,41,1,created,2025-01-03 20:38:27,"{""short_code"":""UHBXsG"",""original_url"":""https://hackstack.io/mellow/field/41""}"
42,42,139,created,2025-10-22 06:28:04,"{""short_code"":""9oqeQb"",""original_url"":""https://hackstack.io/silver/orbit/42""}"
43,43,199,created,2025-07-11 19:23:00,"{""short_code"":""InTQoy"",""original_url"":""https://acme.dev/ember/network/43""}"
44,44,383,created,2025-05-28 03:00:40,"{""short_code"":""pXMBoo"",""original_url"":""https://hackstack.io/lively/engine/44""}"
45,45,55,created,2025-05-16 04:40:20,"{""short_code"":""4glizg"",""original_url"":""https://seeded.app/quiet/pioneer/45""}"
46,46,270,created,2025-02-15 17:32:20,"{""short_code"":""qGRXHO"",""original_url"":""https://hackstack.io/gold/harvest/46""}"
47,47,275,created,2025-07-24 21:03:14,"{""short_code"":""N6gtpI"",""original_url"":""https://example.com/clear/valley/47""}"
48,48,74,created,2025-01-29 04:03:26,"{""short_code"":""sUXyXd"",""original_url"":""https://relay.cloud/young/garden/48""}"
49,49,128,created,2025-01-02 18:40:40,"{""short_code"":""TcG1lE"",""original_url"":""https://relay.cloud/jade/lagoon/49""}"
50,50,153,created,2025-08-21 06:28:05,"{""short_code"":""fDjjfe"",""original_url"":""https://opswise.net/warm/meadow/50""}"
51,51,378,created,2025-03-20 22:46:44,"{""short_code"":""nTE7Wv"",""original_url"":""https://seeded.app/opal/trail/51""}"
52,52,213,created,2026-01-23 22:50:43,"{""short_code"":""wUuDh4"",""original_url"":""https://relay.cloud/silver/harvest/52""}"
53,53,341,created,2025-02-08 13:12:42,"{""short_code"":""vrxcYh"",""original_url"":""https://seeded.app/mellow/beacon/53""}"
54,54,98,created,2025-08-20 23:28:41,"{""short_code"":""Be8xKh"",""original_url"":""https://relay.cloud/navy/window/54""}"
55,55,289,created,2025-02-01 21:41:33,"{""short_code"":""zHRfkp"",""original_url"":""https://acme.dev/warm/trail/55""}"
56,56,59,created,2025-09-02 14:51:58,"{""short_code"":""HgACiv"",""original_url"":""https://seeded.app/cobalt/signal/56""}"
57,57,344,created,2025-05-05 22:22:02,"{""short_code"":""sv2IQW"",""original_url"":""https://opswise.net/cobalt/orbit/57""}"
58,58,173,created,2025-10-14 23:11:02,"{""short_code"":""5DPBvD"",""original_url"":""https://example.com/dawn/window/58""}"
59,59,297,created,2025-01-28 00:40:31,"{""short_code"":""u8Z4AR"",""original_url"":""https://example.com/lively/window/59""}"
60,60,181,created,2025-08-18 16:37:48,"{""short_code"":""06bf0z"",""original_url"":""https://seeded.app/keen/engine/60""}"
61,61,345,created,2025-11-05 11:27:38,"{""short_code"":""FRDR96"",""original_url"":""https://example.com/harbor/valley/61""}"
62,62,321,created,2025-09-24 06:04:04,"{""short_code"":""s6FWrq"",""original_url"":""https://hackstack.io/rapid/pioneer/62""}"
63,63,290,created,2026-01-16 09:05:26,"{""short_code"":""VYcKIg"",""original_url"":""https://seeded.app/tidy/garden/63""}"
64,64,304,created,2025-11-13 15:38:01,"{""short_code"":""7G4ox2"",""original_url"":""https://seeded.app/navy/valley/64""}"
65,65,19,created,2025-07-24 12:20:37,"{""short_code"":""2qs8PW"",""original_url"":""https://acme.dev/harbor/pioneer/65""}"
66,66,400,created,2025-06-26 01:27:17,"{""short_code"":""p62Ckb"",""original_url"":""https://hackstack.io/silver/journey/66""}"
67,67,177,created,2025-04-24 07:22:23,"{""short_code"":""X3NVjL"",""original_url"":""https://acme.dev/calm/harvest/67""}"
68,68,50,created,2026-01-31 17:34:51,"{""short_code"":""FACqWI"",""original_url"":""https://example.com/quiet/trail/68""}"
69,69,105,created,2026-02-04 02:19:22,"{""short_code"":""UqEIy0"",""original_url"":""https://opswise.net/brisk/network/69""}"
70,70,90,created,2025-11-13 05:56:10,"{""short_code"":""anEA9x"",""original_url"":""https://example.com/gold/yard/70""}"
71,71,127,created,2025-04-29 01:26:42,"{""short_code"":""vFZVNb"",""original_url"":""https://hackstack.io/quiet/anchor/71""}"
72,72,66,created,2025-04-03 23:34:58,"{""short_code"":""ozelVL"",""original_url"":""https://acme.dev/urban/trail/72""}"
73,73,321,created,2025-09-21 00:38:02,"{""short_code"":""VBS0on"",""original_url"":""https://example.com/navy/delta/73""}"
74,74,384,created,2025-07-23 06:22:10,"{""short_code"":""3x4UFU"",""original_url"":""https://acme.dev/warm/uplink/74""}"
75,75,285,created,2026-01-06 00:35:03,"{""short_code"":""AxPJYx"",""original_url"":""https://seeded.app/clear/lagoon/75""}"
76,76,376,created,2025-02-01 17:28:07,"{""short_code"":""5VZsxb"",""original_url"":""https://relay.cloud/warm/orbit/76""}"
77,77,370,created,2025-09-13 15:22:07,"{""short_code"":""g54b8j"",""original_url"":""https://example.com/cobalt/orbit/77""}"
78,78,182,created,2025-02-11 07:19:24,"{""short_code"":""gJQiEn"",""original_url"":""https://relay.cloud/vivid/anchor/78""}"
79,79,20,created,2025-02-01 20:53:00,"{""short_code"":""yTR4IF"",""original_url"":""https://relay.cloud/mellow/engine/79""}"
80,80,29,created,2025-09-23 17:08:59,"{""short_code"":""sLGDqv"",""original_url"":""https://opswise.net/mellow/delta/80""}"
81,81,211,created,2025-12-01 02:08:08,"{""short_code"":""H4RMqF"",""original_url"":""https://opswise.net/young/river/81""}"
82,82,129,created,2025-04-27 18:13:49,"{""short_code"":""WwbgAv"",""original_url"":""https://acme.dev/harbor/quartz/82""}"
83,83,263,created,2025-07-14 08:53:52,"{""short_code"":""WjO9Dh"",""original_url"":""https://opswise.net/gold/pioneer/83""}"
84,84,189,created,2025-03-23 06:43:49,"{""short_code"":""6Ru0Ol"",""original_url"":""https://seeded.app/forest/island/84""}"
85,85,155,created,2025-06-16 05:21:23,"{""short_code"":""hTQ2en"",""original_url"":""https://opswise.net/brisk/valley/85""}"
86,86,95,created,2025-05-30 02:56:51,"{""short_code"":""0gFMMw"",""original_url"":""https://seeded.app/amber/window/86""}"
87,87,271,created,2025-08-24 18:08:51,"{""short_code"":""nVPeHC"",""original_url"":""https://hackstack.io/ivory/river/87""}"
